100 5375
200 10408
300 16496
400 21406
500 27144
600 31474
700 36382
800 42161
900 46931
1000 53250
1100 56991
1200 62951
1300 69256
1400 72987
1500 76293
1600 82510
1700 86326
1800 92933
1900 98518
2000 103760
2100 107100
2200 114079
2300 115789
2400 125228
2500 129349
2600 133696
2700 139009
2800 145186
2900 148358
3000 147602
